"case_id","case_name","case_status","case_state","court_name","case_type","case_ongoing","case_special_collections","case_causes_of_action","case_issues"
9160,"EEOC v. CAGLE'S INC.","Coding Complete","Georgia","Middle District of Georgia","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Harassment / Hostile Work Environment, Direct Suit on Merits, Private Party intervened in EEOC suit"
93,"Dunn v. Carey","Approved","Indiana","Southern District of Indiana","Jail Conditions","No",NULL,"42 U.S.C. § 1983","Totality of conditions"
12198,"Kaiser v. County of Sacramento","Coding Complete","California","Eastern District of California","Jail Conditions","Yes","California Jail Population Caps","42 U.S.C. § 1983","Crowding (General), Staff (number, training, qualifications, wages), Recreation / Exercise, Dental care, Medical care, general, Mental health care, general, Conditions of confinement, Crowding: Pre-PLRA Population Cap, Law library access, Sex discrimination, Male, Female, Unconstitutional conditions of confinement"
15425,"People of the State of New York v. Armor Correctional Health Medical Services of NY","Approved","New York","New York state trial court","Jail Conditions","No",NULL,"State law","Staff (number, training, qualifications, wages), Incident/accident reporting & investigations, Record-keeping, Medical care, general, Medication, administration of, Mental health care, general"
374,"Coleman v. Stanziani","Coding Complete","Pennsylvania","Eastern District of Pennsylvania","Juvenile Institution","No",NULL,"42 U.S.C. § 1983","Classification / placement, Disciplinary procedures, Access to lawyers or judicial system"
11788,"Prison Legal News v. Corrections Corporation of America","Approved","Arizona","District of Arizona","Prison Conditions","No","Prison Legal News, Multi-LexSum (in sample)","42 U.S.C. § 1983, State law","Mail, Male"
17670,"Jones v. Hill","Approved","Georgia","Northern District of Georgia","Prison Conditions","No","COVID-19 (novel coronavirus), Multi-LexSum (in sample)","42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Habeas Corpus, 28 U.S.C. §§ 2241-2253; 2254; 2255, Declaratory Judgment Act, 28 U.S.C. § 2201","Sanitation / living conditions, Disability, unspecified, Conditions of confinement, Mitigation Requested, Release Requested, Mitigation Denied, Release Denied, Totality of conditions, Disability (inc. reasonable accommodations), Bathing and hygiene, Reasonable Accommodations, Reasonable Modifications"
14979,"Parsons v. U.S. Department of Justice","Coding Complete","Michigan","Eastern District of Michigan","Criminal Justice (Other)","No reason to think so","Multi-LexSum (in sample)","Administrative Procedure Act, 5 U.S.C. §§ 551 et seq., Declaratory Judgment Act, 28 U.S.C. § 2201","Classification / placement"
17738,"Texas Civil Rights Project v. Wolf","Coding Complete","District of Columbia","District of District of Columbia","Immigration and/or the Border","No","Multi-LexSum (in sample)","Administrative Procedure Act, 5 U.S.C. §§ 551 et seq., Immigration and Nationality Act (INA), 8 U.S.C. §§ 1101 et seq., Declaratory Judgment Act, 28 U.S.C. § 2201, Trafficking Victims Protection Act (TVPA), 18 U.S.C. § 1589","Access to lawyers or judicial system, Family reunification, Juveniles, Parents (visitation, involvement), Placement in detention facilities, Immigration lawyers, Over/Unlawful Detention (facilities), Conditions of confinement, Quality of representation, Mitigation Requested, Confinement/isolation, Asylum - criteria, Asylum - procedure, Border police, Deportation - criteria, Deportation - procedure, Deportation - judicial review, Detention - conditions, Detention - criteria, Detention - procedures, Family Separation, Access to public accommodations - governmental, Housing"
43135,"Planned Parenthood of Greater Texas Surgical Health Services v. Abbott","Approved","Texas","Western District of Texas","Healthcare Access and Reproductive Issues","No",NULL,"42 U.S.C. § 1983, Declaratory Judgment Act, 28 U.S.C. § 2201, Ex parte Young (federal or state officials)","Abortion, Confidentiality, Reproductive health care (including birth control, abortion, and others), Admitting privileges, Licensing restriction, Time-based abortion prohibition, Medication abortion, Undue Burden"
10051,"Oken v. Sizer","Coding Complete","Maryland","District of Maryland","Criminal Justice (Other)","No","Multi-LexSum (in sample)","42 U.S.C. § 1983","Lethal Injection - General"
12710,"Korte v. United States Department of Health and Human Services","Approved","Illinois","Southern District of Illinois","Speech and Religious Freedom","No","Contraception Insurance Mandate, Multi-LexSum (in sample)","Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Contraception, Abortion, Religious programs / policies, Religion discrimination"
11445,"Barber v. Deptartment of Revenue","Approved","Colorado","District of Colorado","Disability Rights","No","Multi-LexSum (in sample)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701",NULL
44349,"Planned Parenthood of Wisconsin, Inc. v. Azar","Approved","District of Columbia","District of District of Columbia","Healthcare Access and Reproductive Issues","No","Trump Administration 1.0: Challenges to the Government","Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Government services"
6322,"EEOC v. AUSTIN COMMERCIAL, INC.","Coding Complete","Texas","Western District of Texas","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Race discrimination, Black, Disparate Treatment, Harassment / Hostile Work Environment, Direct Suit on Merits"
5694,"EEOC v. AMPACE FREIGHTLINES INC (D/B/A MERCHANTS DUTCH)","Coding Complete","Louisiana","Western District of Louisiana","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq.","Disability (inc. reasonable accommodations), Disparate Treatment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
2,"Salazar v. Edwards","Coding Complete","Illinois","Illinois state trial court","Child Welfare","No",NULL,"State law","Education"
10536,"Amor v. U.S. Attorney General","Approved","Florida","Southern District of Florida","Immigration and/or the Border","No",NULL,"Administrative Procedure Act, 5 U.S.C. §§ 551 et seq., Immigration and Nationality Act (INA), 8 U.S.C. §§ 1101 et seq.","U.S. citizenship - acquiring, Status/Classification, Constitutional rights"
11795,"Council for Disability Rights v. City of Chicago","Approved","Illinois","Northern District of Illinois","Disability Rights","No","Multi-LexSum (in sample)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Sidewalks, Government services"
16932,"Department of Education OCR Title IX Investigation of Stanford University","Approved","California","No Court","Education","Yes",NULL,"Title IX of the Education Amendments of 1972, 20 U.S.C. §§ 1681 et seq.","Assault/abuse by staff, Assault/abuse by residents/inmates/students, Failure to discipline, Sex discrimination, Female"
16889,"Department of Education OCR Title IX Investigation of Glenville State College","Approved","West Virginia","No Court","Education","No",NULL,"Title IX of the Education Amendments of 1972, 20 U.S.C. §§ 1681 et seq.","Sex discrimination, Female"
44242,"Michael P. v. Department of Education, State of Hawai'i","Approved","Hawaii","District of Hawaii","Disability Rights","No reason to think so",NULL,"Indv. w/ Disab. Educ. Act (IDEA), Educ. of All Handcpd. Children Act , 20 U.S.C. § 1400","Juveniles, Least restrictive environment, Education, Attorneys fees or sanctions ordered"
5820,"EEOC v. WILLIAMSON COUNTY CABLEVISION COMPANY","Coding Complete","Texas","Western District of Texas","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Indian, National origin discrimination, Retaliation, Disparate Treatment, Discipline, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
44344,"Yelp Inc. v. Paxton","Approved","California","Northern District of California","Speech and Religious Freedom","Yes",NULL,"42 U.S.C. § 1983, Ex parte Young (federal or state officials)","Abortion, Reproductive health care (including birth control, abortion, and others)"
44340,"Bell v. Washington Department of Corrections","Coding Complete","Washington","Washington state trial court","Prison Conditions","Yes",NULL,"42 U.S.C. § 1983","Medical care, general"
348,"CRIPA Investigation, Jackson (MS)","Approved","Mississippi","No Court","Juvenile Institution","No reason to think so","Civil Rights Division Archival Collection","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Suicide prevention (facilities), Staff (number, training, qualifications, wages), Sanitation / living conditions, Recreation / Exercise, Medical care, general, Mental health care, general, Male"
12712,"Newland v. Sebelius","Coding Complete","Colorado","District of Colorado","Speech and Religious Freedom","No","Contraception Insurance Mandate, Multi-LexSum (in sample)","Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Contraception, Abortion, Religious programs / policies, Religion discrimination"
5901,"EEOC v. E.A.H., Inc.","Approved","Indiana","Southern District of Indiana","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits"
44339,"A.V. v. Douglas County School District RE-1","Approved","Colorado","District of Colorado","Policing","No",NULL,"42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq.","Excessive force, Disability (inc. reasonable accommodations), Autism"
12714,"Gilardi v. Dep't of Health and Human Services [Gilardi v. Sebelius]","Approved","District of Columbia","District of District of Columbia","Speech and Religious Freedom","No","Contraception Insurance Mandate, Multi-LexSum (in sample)","Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Contraception, Religious programs / policies, Religion discrimination"
12715,"Grote Industries v. Sebelius","Coding Complete","Indiana","Southern District of Indiana","Speech and Religious Freedom","No","Contraception Insurance Mandate, Multi-LexSum (in sample)","Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Contraception, Religious programs / policies, Religion discrimination"
16993,"Doe v. Nebraska","Approved","Nebraska","District of Nebraska","Criminal Justice (Other)","No","Multi-LexSum (in sample)","42 U.S.C. § 1983, State law","Sex offender regulation"
15128,"Couch v. Jabe","Approved","Virginia","Western District of Virginia","Prison Conditions","Perhaps, but long-dormant","Post-PLRA Jail and Prison Private Settlement Agreements, Multi-LexSum (in sample)","42 U.S.C. § 1983, Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA)","Food service / nutrition / hydration, Conditions of confinement, Religious programs / policies, Religion discrimination"
12609,"Labor/Community Strategy Center v. Los Angeles County Metropolitan Transportation Authority","Coding Complete","California","Central District of California","Public Benefits/Government Services","No",NULL,"42 U.S.C. § 1983, Title VI, Civil Rights Act of 1964, 42 U.S.C. § 2000d et seq.","Funding, Race, unspecified, Race discrimination, Black, Hispanic, National origin discrimination, Disparate Impact, Access to public accommodations - governmental"
43452,"Gainesville Woman Care, LLC v. Florida","Coding Complete","Florida","Florida state trial court","Healthcare Access and Reproductive Issues","Perhaps, but long-dormant",NULL,"State law","Abortion, Sex discrimination, Reproductive health care (including birth control, abortion, and others), Mandatory delay"
5713,"EEOC v. Jayhawk Homes, Inc.","Coding Complete","Kansas","District of Kansas","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Disparate Treatment, Direct Suit on Merits"
16938,"Department of Education OCR Title IX Investigation of University of California at Berkeley","Approved","California","No Court","Education","Yes","Title IX, Sexual Violence Investigations/Resolutions","Title IX of the Education Amendments of 1972, 20 U.S.C. §§ 1681 et seq.","Assault/abuse by staff, Assault/abuse by residents/inmates/students, Sex discrimination, Female"
12716,"Tyndale House Publishers, Inc. v. Sebelius","Coding Complete","District of Columbia","District of District of Columbia","Speech and Religious Freedom","No","Contraception Insurance Mandate, Multi-LexSum (in sample)","Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Contraception, Abortion, Religious programs / policies, Religion discrimination"
929,"U.S. ex rel. Hoss v. Cuyler","Coding Complete","Pennsylvania","Eastern District of Pennsylvania","Prison Conditions","No",NULL,"42 U.S.C. § 1983","Administrative segregation, Disciplinary procedures, Mental health care, general"
17005,"Briggs v. Mass. Dept. of Corrections","Approved","Massachusetts","District of Massachusetts","Prison Conditions","Yes","Deaf or Blind in Jail/Prison, Multi-LexSum (in sample)","42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Individualized planning, Hearing impairment, TTY/Close Captioning/Videophone/etc., Screen readers and similar accessibility devices, Effective Communication (ADA), Disability (inc. reasonable accommodations), Communication skills, Accommodation / Leave, Access to public accommodations - governmental, Reasonable Accommodations, Reasonable Modifications"
17729,"Wise v. Portland","Approved","Oregon","District of Oregon","Policing","Yes","Police Violence Protests, Litigation Against Federal Police (2020), Multi-LexSum (in sample)","42 U.S.C. § 1983, Administrative Procedure Act, 5 U.S.C. §§ 551 et seq., Declaratory Judgment Act, 28 U.S.C. § 2201","Excessive force, Failure to discipline, Failure to supervise, Over/Unlawful Detention (facilities), Aggressive behavior, Failure to train, Pepper/OC Spray (policing), Restraints : chemical (policing), Restraints : physical (policing)"
44338,"Lou v. Lopinto","Approved","Louisiana","Eastern District of Louisiana","Policing","No",NULL,"42 U.S.C. § 1983","Excessive force"
412,"Gregory v. Armistead","Coding Complete","Louisiana","Middle District of Louisiana","Mental Health (Facility)","No",NULL,"42 U.S.C. § 1983","Habilitation (training/treatment), Medication, administration of, Mental health care, unspecified, Conditions of confinement, Restraints (physical), Confinement/isolation, Improper treatment of mentally ill suspects"
17014,"Yeh v. United States Bureau of Prisons","Coding Complete","Pennsylvania","Middle District of Pennsylvania","Prison Conditions","No","Deaf or Blind in Jail/Prison, Multi-LexSum (in sample)","Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Phone, Language access/needs, Hearing impairment, TTY/Close Captioning/Videophone/etc., Effective Communication (ADA), Disability (inc. reasonable accommodations), Reasonable Accommodations, Barrier Removal"
15150,"Pottinger v. City of Miami","Approved","Florida","Southern District of Florida","Policing","No",NULL,"42 U.S.C. § 1983","Search policies, Funding, Excessive force, Over/Unlawful Detention (facilities), Fetus Identity, Aggressive behavior, Failure to train, False arrest, Disparate Treatment, Pattern or Practice"
15153,"Blatt v. Cabela's Retail","Approved","Pennsylvania","Eastern District of Pennsylvania","Equal Employment","No","Transgender Bathroom Access Cases, Multi-LexSum (in sample)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Title VII (including PDA), 42 U.S.C.  § 2000e","LGBTQ+, Disability, unspecified, Gender identity, Sex discrimination, Disability (inc. reasonable accommodations), Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Accommodation / Leave, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Promotion, Discharge / Constructive Discharge / Layoff"
17029,"Bryant v. Federal Bureau of Prisons","Approved","California","Central District of California","Prison Conditions","No reason to think so","Deaf or Blind in Jail/Prison, Multi-LexSum (in sample)","Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Ex parte Young (federal or state officials)","Administrative segregation, Protective custody, Disciplinary segregation, Phone, Incident/accident reporting & investigations, Language access/needs, Grievance procedures, Conditions of confinement, Hearing impairment, TTY/Close Captioning/Videophone/etc., Disability (inc. reasonable accommodations)"
17039,"Brown v. Ramsay","Approved","Florida","Southern District of Florida","Immigration and/or the Border","Yes","Multi-LexSum (in sample)","42 U.S.C. § 1983, State law","Placement in detention facilities, Over/Unlawful Detention (facilities), False arrest, Constitutional rights, Deportation - procedure, Detention - procedures"
12060,"Dragovich v. U.S. Department of Treasury","Approved","California","Northern District of California","Public Benefits/Government Services","No","Same-Sex Marriage, Multi-LexSum (in sample)","42 U.S.C. § 1983, Declaratory Judgment Act, 28 U.S.C. § 2201","LGBTQ+, Public benefits (includes, e.g., in-state tuition, govt. jobs), Sexual orientation, Marriage, Government services"
43131,"Planned Parenthood Southeast, Inc. v. Bentley","Approved","Alabama","Middle District of Alabama","Healthcare Access and Reproductive Issues","No",NULL,"42 U.S.C. § 1983","Abortion, Admitting privileges, Undue Burden"
8737,"EEOC v. IBEW Local 3","Approved","New York","Southern District of New York","Equal Employment","No",NULL,"Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Race discrimination, Black, Female, Disparate Impact, Pattern or Practice, Hiring, Testing, Training, Direct Suit on Merits"
12717,"Domino's Farms Corp. v. Sebelius","Approved","Michigan","Eastern District of Michigan","Speech and Religious Freedom","No","Contraception Insurance Mandate, Multi-LexSum (in sample)","Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Contraception, Religious programs / policies, Religion discrimination"
6432,"EEOC v. TAYLOR FORGE INTERNATIONAL, INC.","Coding Complete","Tennessee","Western District of Tennessee","Equal Employment","No","EEOC Study — in sample","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Title VII (including PDA), 42 U.S.C.  § 2000e","Disability (inc. reasonable accommodations), Disparate Treatment, Hiring, Direct Suit on Merits"
44335,"Billard v. Charlotte Catholic High School","Approved","North Carolina","Western District of North Carolina","Equal Employment","Yes",NULL,"Title VII (including PDA), 42 U.S.C.  § 2000e, Declaratory Judgment Act, 28 U.S.C. § 2201","LGBTQ+, Sexual orientation, Religious programs / policies, Sex discrimination, Education, Male, Retaliation, Discharge / Constructive Discharge / Layoff, School/University policies"
166,"U.S. v. Corinth City","Coding Complete","Mississippi","Northern District of Mississippi","Jail Conditions","No","Multi-LexSum (in sample)","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Suicide prevention (facilities), Classification / placement, Disciplinary procedures, Staff (number, training, qualifications, wages), Food service / nutrition / hydration, Sanitation / living conditions, Recreation / Exercise"
6024,"EEOC v. Enrichment Pre-Schools, Inc.","Coding Complete","Tennessee","Middle District of Tennessee","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Disparate Treatment, Direct Suit on Merits"
15171,"Freedom of the Press Foundation v. U.S. Department of Justice","Approved","California","Northern District of California","National Security","No","Multi-LexSum (in sample)","FOIA (Freedom of Information Act), 5 U.S.C. § 552","Records Disclosure"
6100,"EEOC v. B & K RENTALS AND SALES COMPANY","Coding Complete","Maryland","District of Maryland","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Pregnancy discrimination, Disparate Treatment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
10680,"Ebbert v. Nassau County","Approved","New York","Eastern District of New York","Equal Employment","No","Private Employment Class Actions, Multi-LexSum (in sample)","42 U.S.C. § 1983, State law, Equal Pay Act, 29 U.S.C. §  206(d)","Seniority, Sex discrimination, Female, Disparate Treatment, Pattern or Practice, Pay / Benefits, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Promotion, Demotion"
9519,"Abdullah v. INS","Coding Complete","New York","Southern District of New York","Immigration and/or the Border","No",NULL,"Ex Parte Young (Federal) or Bivens, Immigration Reform and Control Act of 1986 (IRCA)","Undocumented immigrants - rights and duties, Temporary foreign workers program, Constitutional rights, Employment"
17046,"Rodriguez v. Mach","Coding Complete","Texas","Western District of Texas","Public Benefits/Government Services","No","Fines/Fees/Bail Reform (Criminalization of Poverty), Multi-LexSum (in sample)","42 U.S.C. § 1983, Declaratory Judgment Act, 28 U.S.C. § 2201","Poverty/homelessness, Drivers Licenses, Race discrimination, Black, Hispanic, Fines/Fees/Bail/Bond"
6178,"EEOC v. Dana Corporation","Coding Complete","Indiana","Southern District of Indiana","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits"
44760,"Mcdonald v. Federal Communications","Approved","Tennessee","Middle District of Tennessee","Election/Voting Rights","No",NULL,NULL,"Other"
243,"Mawson v. Wideman","Coding Complete","Pennsylvania","Middle District of Pennsylvania","Jail Conditions","No",NULL,"42 U.S.C. § 1983","Crowding (General), Staff (number, training, qualifications, wages), Recreation / Exercise, Mail, Access to lawyers or judicial system, Law library access, Library (non-law) access, Race discrimination"
159,"CRIPA Investigation, Hinds County (MS) [1986]","Coding Complete","Mississippi","No Court","Jail Conditions","No",NULL,"Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Mental health care, general, Mental health care, unspecified"
15207,"Shoatz v. Wetzel","Coding Complete","Pennsylvania","Western District of Pennsylvania","Prison Conditions","No","Solitary confinement, Multi-LexSum (in sample)","42 U.S.C. § 1983","Administrative segregation, Disciplinary segregation, Mental health care, general, Untreated pain, Conditions of confinement, Solitary confinement/Supermax (conditions or process)"
45737,"Ratlieff v. City of Fort Lauderdale, Florida","Coding Complete","Florida","Southern District of Florida","Policing","No",NULL,"42 U.S.C. § 1983, State law","Excessive force, Failure to supervise, Failure to train, Pepper/OC Spray (policing)"
46295,"Environmental Defense Fund v. United States Department of the Interior","Coding Complete","District of Columbia","District of District of Columbia","Environmental Justice","Yes","Trump Administration 2.0: Challenges to the Government, Trump Administration 2.0: Challenges to the Government","FOIA (Freedom of Information Act), 5 U.S.C. § 552","Threatened/endangered fauna, Threatened/endangered flora"
44330,"Students for Fair Admissions v. United States Military Academy at West Point","Approved","New York","Southern District of New York","Education","Yes",NULL,"Declaratory Judgment Act, 28 U.S.C. § 2201, Ex parte Young (federal or state officials)","Race discrimination, School/University policies"
9766,"Baraldini v. Meese","Coding Complete","District of Columbia","District of District of Columbia","Prison Conditions","No",NULL,NULL,"Classification / placement, Administrative segregation, Disciplinary segregation, Solitary confinement/Supermax (conditions or process), Female"
14530,"CRIPA investigation of Cresson and Penn. DOC (solitary confinement)","Coding Complete","Pennsylvania","No Court","Prison Conditions","No","Solitary confinement","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Medical care, general, Mental health care, general, Conditions of confinement, Solitary confinement/Supermax (conditions or process), Mental impairment"
5965,"EEOC v. ATLAS TOWING SERVICE","Coding Complete","California","Northern District of California","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Disparate Treatment, Direct Suit on Merits"
318,"Ishii v. Chang","Coding Complete","Hawaii","District of Hawaii","Juvenile Institution","No",NULL,"42 U.S.C. § 1983","Access to lawyers or judicial system"
15209,"Kennedy v. City of Biloxi","Approved","Mississippi","Southern District of Mississippi","Criminal Justice (Other)","No","Fines/Fees/Bail Reform (Criminalization of Poverty), Multi-LexSum (in sample)","42 U.S.C. § 1983, Declaratory Judgment Act, 28 U.S.C. § 2201","Placement in detention facilities, Poverty/homelessness, Disability, unspecified, Pattern or Practice, Fines/Fees/Bail/Bond"
10857,"Johnson v. Montgomery County Sheriff's Department","Approved","Alabama","Middle District of Alabama","Equal Employment","No","Private Employment Class Actions","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Retaliation, Disparate Treatment, Hiring, Harassment / Hostile Work Environment, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Promotion"
12719,"Disability Rights Network of Pennsylvania v. Wetzel","Approved","Pennsylvania","Middle District of Pennsylvania","Prison Conditions","No","Post-PLRA Jail and Prison Private Settlement Agreements, Solitary confinement, Multi-LexSum (in sample)","42 U.S.C. § 1983, Protection and Advocacy for Individuals with Mental Illness (PAIMI) Act, 42 U.S.C. § 10801","Administrative segregation, Disciplinary segregation, Disciplinary procedures, Mental health care, general, Self-injurious behaviors, Suicide prevention, Conditions of confinement, Solitary confinement/Supermax (conditions or process), Disability (inc. reasonable accommodations), Mental impairment, Restraints (physical)"
8712,"EEOC v. Convergys Corporation","Coding Complete","Utah","District of Utah","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Equal Pay Act, 29 U.S.C. §  206(d), Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Pay / Benefits, Direct Suit on Merits"
10694,"Ellis v. Costco","Approved","California","Northern District of California","Equal Employment","Yes","Private Employment Class Actions, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Race, unspecified, Sex discrimination, Female, Retaliation, Pattern or Practice, Promotion"
17723,"Baker v. Florissant","Approved","Missouri","Eastern District of Missouri","Criminal Justice (Other)","No reason to think so","Fines/Fees/Bail Reform (Criminalization of Poverty), Multi-LexSum (in sample)","42 U.S.C. § 1983, Declaratory Judgment Act, 28 U.S.C. § 2201","Access to lawyers or judicial system, Placement in detention facilities, Fines/Fees/Bail/Bond"
8549,"EEOC v. QWEST COMMUNICATIONS CORPORATION and US WEST COMMUNICATIONS INC","Coding Complete","Oregon","District of Oregon","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Indian, National origin discrimination, Disparate Treatment, Pattern or Practice, Promotion, Direct Suit on Merits, Private Party intervened in EEOC suit"
44322,"Williams v. City of Beverly Hills","Approved","California","Central District of California","Policing","Yes","Traffic Stop Litigation","42 U.S.C. § 1983, Ex parte Young (federal or state officials)",NULL
928,"Intersimone v. Carlson","Coding Complete","Pennsylvania","Middle District of Pennsylvania","Prison Conditions","No",NULL,"42 U.S.C. § 1983","Mail"
170,"U.S. v. Grenada County","Coding Complete","Mississippi","Northern District of Mississippi","Jail Conditions","No","Multi-LexSum (in sample)","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Suicide prevention (facilities), Classification / placement, Disciplinary procedures, Staff (number, training, qualifications, wages), Food service / nutrition / hydration, Sanitation / living conditions, Fire safety"
14374,"L-R v. Johnson","Approved","District of Columbia","District of District of Columbia","Immigration and/or the Border","Yes","Multi-LexSum (in sample)","Administrative Procedure Act, 5 U.S.C. §§ 551 et seq., Ex parte Young (federal or state officials)","Classification / placement, Juveniles, Placement in detention facilities, Undocumented immigrants - rights and duties, Over/Unlawful Detention (facilities), Hispanic, Confinement/isolation, Asylum - procedure, Constitutional rights, Detention - criteria, Detention - procedures, Family Separation"
17048,"Kennedy v. Fanning","Approved","Connecticut","District of Connecticut","Public Benefits/Government Services","Yes","Multi-LexSum (in sample)","42 U.S.C. § 1983, Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Habilitation (training/treatment), Military status discrimination, Public benefits (includes, e.g., in-state tuition, govt. jobs), Disability (inc. reasonable accommodations), Mental impairment, Discharge & termination plans, Government services"
9127,"EEOC v. Electronic Data Systems Corporation","Coding Complete","Michigan","Eastern District of Michigan","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Pregnancy discrimination, Disparate Treatment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
8239,"EEOC v. STERLING MCCALL TOYOTA","Coding Complete","Texas","Southern District of Texas","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Other, National origin discrimination, Retaliation, Disparate Treatment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits, Private Party intervened in EEOC suit"
10400,"USA v. City of Fullerton","Coding Complete","California","Central District of California","Equal Employment","No",NULL,"Title VII (including PDA), 42 U.S.C.  § 2000e","Race, unspecified"
12723,"Battista v. Clarke","Approved","Massachusetts","District of Massachusetts","Mental Health (Facility)","No reason to think so","Multi-LexSum (in sample), Transgender Healthcare Access Cases","42 U.S.C. § 1983, State law","LGBTQ+, Medication, administration of, Mental health care, general, Gender identity, Female"
45878,"Chiaverini v. City of Napoleon","Coding Complete","Ohio","Northern District of Ohio","Policing","Yes",NULL,"42 U.S.C. § 1983","False arrest"
994,"Humanists of Washington v. Lehman","Coding Complete","Washington","Western District of Washington","Prison Conditions","No",NULL,"42 U.S.C. § 1983","Loss or damage to property, Mail, Library (non-law) access"
