lower_court,count,first_case_num,cl_court_id,cl_court_name,manual,manual_type,auto_type,type
"Circuit Court of West Virginia, Greenbriar County",1,99-C-154,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Calhoun County",1,"06-JA-3, 06-JA-4",,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Brooke County",1,05-C-85,,,1,State Trial,#N/A,State Trial
Circuit Court of West Virginia Mingo County,1,96-C-235/239/240/241/97-,,,1,State Trial,#N/A,State Trial
"Circuit Court of Virginia, Wise County",1,CH00402,,,1,State Trial,#N/A,State Trial
"Circuit Court of Virginia, City of Newport News",1,00301-TF,,,1,State Trial,#N/A,State Trial
"Circuit Court of Virginia, Arlington County",1,"01-508, 01-814",,,1,State Trial,#N/A,State Trial
Circuit Court of Virginia City of Charlottesville,1,00-229,,,1,State Trial,#N/A,State Trial
"Circuit Court of Tennessee, Maury County",1,E2018-00130-CCA-R28-PD,,,1,State Trial,#N/A,State Trial
"Circuit Court of South Dakota, Yankton County",1,JUV. 07-33/-7-64,,,1,State Trial,#N/A,State Trial
"Circuit Court of Oregon, Washington County",1,D056049M,,,1,State Trial,#N/A,State Trial
"Circuit Court of Oregon, Umatilla County",1,F94-11-1023C,,,1,State Trial,#N/A,State Trial
"Circuit Court of Mississippi, Winston County",1,2001-0189-CV-M,,,1,State Trial,#N/A,State Trial
"Circuit Court of Mississippi, Madison County",1,2009-0203-C,,,1,State Trial,#N/A,State Trial
"Circuit Court of Mississippi, Hinds County",1,251-01-23COV,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Pendleton County",1,01-C-14,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Pocahontas County",1,03-F-04J,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Wetzel County",1,01-C-15,,,1,State Trial,#N/A,State Trial
"County of New York, Broome County",1,2012-0093,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Huron County",1,"H-06-007, H-06-008, H-06-009, H-06-010, H-06-011, H-06-012, H-06-013, H-06-014, H-06-015, H-06-016, H-06-017",,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Gallia County",1,06CA13,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Clinton County",1,CA2001-02-008,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Carroll County",1,01 AP 758,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Brown County",1,CA2009-05-018,,,1,State Trial,#N/A,State Trial
Court of Appeals of Ohio Greene County,1,99 CA 25,,,1,State Trial,#N/A,State Trial
Court of Appeals of North Dakota,1,20000149CA,ndctapp,North Dakota Court of Appeals,0,,State Appellate,State Appellate
"Court of Appeals of Michigan, Genesse County",1,01-08404-FH,,,1,State Trial,#N/A,State Trial
"County Court of New York, Westchester County",1,87-1520,nywestchcty,Westchester County Court,0,,State Trial,State Trial
"County Court at Law 2, Montgomery County, Texas",1,"15-28977, 15-28978",,,1,State Trial,#N/A,State Trial
"County Court of New York, Sullivan County",1,2066/06,nysullivanctyct,Sullivan County Court,0,,State Trial,State Trial
"County Court of New York, St. Lawrence County",1,Ind. No. 2015-0123,nystlawctyct,St. Lawrence County Court,0,,State Trial,State Trial
"County Court of New York, Oswego County",1,01C-228,nyoswegoctyct,Oswego County Court,0,,State Trial,State Trial
"County Court of New York, Orange County",1,1989-545,nyorangectyct,Orange County Court,0,,State Trial,State Trial
"County Court of New York, Niagara County",1,2010-010,nyniagaractyct,Niagara County Court,0,,State Trial,State Trial
"County Court of New York, Nassau County",1,Motion No. C-72,nynassctyct,Nassau County Court,0,,State Trial,State Trial
"County Court of New York, Livingston County",1,2004-027,nylivingstctyct,Livingston County Court,0,,State Trial,State Trial
"County Court at Law No. 2, Collin County, Texas",1,58775209,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Van Buren County",1,03-13658B,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Tuscola County",1,90-5754-FC,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, St. Joseph County",1,01-10436,,,1,State Trial,#N/A,State Trial
"Appellate Division, Superior Court of California, Marin County",1,CV-022654,,,1,State Trial,#N/A,State Trial
"Circuit Court of Alabama, Jefferson County",1,98-4984,,,1,State Trial,#N/A,State Trial
"Chancery Court of Tennessee, 30th Judicial District",1,09-1309-3,,,1,State Trial,#N/A,State Trial
Arizona Court of Appeals,1,"1 CA-CR 21-0512, 1 CA-CR 21-0541, 1 CA-CR 22-0061, 1 CA-CR 22-0071",arizctapp,Arizona Court of Appeals,0,,State Appellate,State Appellate
"Appellate Term of the Supreme Court of New York, 1st & 12th Jud. Dist.",1,05-022,nyappterm,Appellate Terms of the Supreme Court of New York,0,,State Appellate,State Appellate
"Appellate Division, Superior Court of California, Yolo County",1,AP00-14,,,1,State Trial,#N/A,State Trial
"Appellate Division, Superior Court of California, Santa Cruz County",1,AP001164,,,1,State Trial,#N/A,State Trial
"Appellate Division, Superior Court of California, Santa Clara County",1,1-15-AP-001874,,,1,State Trial,#N/A,State Trial
"Appellate Division, Superior Court of California, Modoc County",1,"APM00011, APM00012, APM00013",,,1,State Trial,#N/A,State Trial
"Appellate Department, Superior Court of California, El Dorado County",1,PO3CRM1409,,,1,State Trial,#N/A,State Trial
"Circuit Court of Florida, Citrus County",1,2008-CA-007192,,,1,State Trial,#N/A,State Trial
"Appellate Department, Superior Court of California, Alameda County",1,4150,,,1,State Trial,#N/A,State Trial
"9th Circuit Court of New Hampshire, District Division-Nashua",1,459-2022-LT-00671,,,1,State Trial,#N/A,State Trial
"46th District Court of Michigan, Oakland County",1,98-M-351734A,,,1,State Trial,#N/A,State Trial
"39th Judicial District Court of Louisiana, Red River Parish",1,"101, 994",,,1,State Trial,#N/A,State Trial
"29th Judicial District Court of Louisiana, Parish of St. Charles",1,74-033,,,1,State Trial,#N/A,State Trial
28th Judicial District Court of Michigan,1,04-1832SD,,,1,State Trial,#N/A,State Trial
"272nd District Court of Texas, Brazos County",1,11-06185-CRF-272-A,,,1,State Trial,#N/A,State Trial
"221st Judicial District Court of Texas, Montgomery County",1,95-08-008877-CR,,,1,State Trial,#N/A,State Trial
Circuit Court of Florida Brevard County,1,05-2012-55504,,,1,State Trial,#N/A,State Trial
"Circuit Court of Florida, Dade County",1,"0882DOG, 6319DRT, 6833DOF, 9643DNN, 9782DOP",,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Shiawassee County",1,00-5900-AR,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Antrim County",1,02-3572-FC,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Ottawa County",1,95-18651-FC,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Livingston County",1,92-7032-FC,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Lapeer County",1,01-007330-FHH,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Isabella County",1,03-1555-FC,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Huron County",1,10-004535-AE-K,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Eaton County",1,96-408-FH,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Cass County",1,91-7303-FC,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Benzie County",1,05-001955-FC,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Wicomico County",1,22-C-13-001080,,,1,State Trial,#N/A,State Trial
"Circuit Court of Florida, Pinellas County",1,07-009926-CI-007,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Charles County",1,K13-239,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Calvert County",1,C-04-CV-19-000432,,,1,State Trial,#N/A,State Trial
"Circuit Court of Kentucky, Trimble County",1,"18-XX-00001, 18-XX-00002",,,1,State Trial,#N/A,State Trial
"Circuit Court of Kentucky, Knott County",1,10-XX-00001,,,1,State Trial,#N/A,State Trial
"Circuit Court of Kentucky, Hopkins County",1,02-XX-00010,,,1,State Trial,#N/A,State Trial
"Circuit Court of Florida, Sumter County",1,1988-CF-000636,,,1,State Trial,#N/A,State Trial
"Circuit Court of Florida, St. Johns County",1,04001748CF,,,1,State Trial,#N/A,State Trial
"Circuit Court of Florida, Sarasota County",1,2002-CA-8117,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Perry County",1,12-CA-1,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Vinton County",1,07CA663,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Henderson County",1,"04 CRS 56340, 04 CRS 56668",,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of Pennsylvania, Allegheny County",1,CP-02-MD-4931-2013,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Henry County",1,01-CV-0651-M,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Hall County",1,2016CV982A,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Glynn County",1,CE19-00763,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Floyd County",1,83CR21295-3,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Douglas County",1,"CR 15, 126",,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Dooly County",1,09DV-0061,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Dodge County",1,08-HC-275,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Coffee County",1,2004-S05-0421,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Athens-Clarke County",1,SU01CR0050-SW,,,1,State Trial,#N/A,State Trial
Superior Court of Georgia Richmond County,1,2002-RCD-472,,,1,State Trial,#N/A,State Trial
Superior Court of Delaware,1,9507001267,delsuperct,Superior Court of Delaware,0,,State Appellate,State Appellate
"Superior Court of Connecticut, Hartford-New Britain",1,CV 06-4021640,,,1,State Trial,#N/A,State Trial
"Superior Court of California, Sonoma County",1,MCV-191306,,,1,State Trial,#N/A,State Trial
"Superior Court of California, Solano County",1,FCS029178,,,1,State Trial,#N/A,State Trial
"Superior Court of California, San Joaquin County, Appellate Department",1,ST65170A,,,1,State Trial,#N/A,State Trial
"Superior Court of California, Sacramento County",1,09UD12194,,,1,State Trial,#N/A,State Trial
"Superior Court of California, Los Angeles County",1,23APIN00010,,,1,State Trial,#N/A,State Trial
"Superior Court of California, County of San Joaquin, Appellate Division",1,CV-LUDRF-2018-11459,,,1,State Trial,#N/A,State Trial
"Superior Court of California, County of Mateo, Appellate Division",1,21-AD-000009,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Jenkins County",1,1J13CV071P,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Johnson County",1,2010-HC-22,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Lowndes County",1,2006-CV-1668,,,1,State Trial,#N/A,State Trial
"Superior Court of New Jersey, Ocean County, Chancery Division",1,FM-15-1494-17,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Haywood County",1,89 CRS 2144,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Craven County",1,98 CRS 3472,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Columbus County",1,23CV000553,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Cleveland County",1,98-CRS-9636-9637,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Chatham County",1,04 CRS 51187,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Cabarrus County",1,"00CRS4055-57, 5715",,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Bladen County",1,84CR52567-69,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Alamance County",1,"88 CRS 2342, 2343, 2638, 4178",,,1,State Trial,#N/A,State Trial
"Superior Court of New Hampshire, Hillsborough County, Northern District",1,99-S-1335,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Monroe County",1,2005-CV-857,,,1,State Trial,#N/A,State Trial
Superior Court of New Hampshire Hillsborough County,1,01-C-20,,,1,State Trial,#N/A,State Trial
"Superior Court of Massachusetts, Essex County",1,2009-01296,,,1,State Trial,#N/A,State Trial
"Superior Court of Massachusetts, Bristol County",1,BRCR2003-00813-1,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Wilcox County",1,2010CV082,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Wayne County",1,00-CV-0335,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Troup County",1,06-R-380,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Pulaski County",1,2000V-8888,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Oconee County",1,96-CR-0001,,,1,State Trial,#N/A,State Trial
"Superior Court of California, Contra Costa County",1,5-151168-2,,,1,State Trial,#N/A,State Trial
Superior Court of California San Francisco County,1,CPF-10-510561,,,1,State Trial,#N/A,State Trial
"Superior Court of Arizona, Yuma County",1,S1400CR9218454,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Jefferson County",1,22CV30495,,,1,State Trial,#N/A,State Trial
"District Court of Louisiana, Livingston Parish",1,01-FELN-015992,,,1,State Trial,#N/A,State Trial
"District Court of Louisiana, Lafayette Parish",1,50486,,,1,State Trial,#N/A,State Trial
"District Court of Louisiana, Iberia Parish",1,91413-D,,,1,State Trial,#N/A,State Trial
"District Court of Iowa, Jasper County",1,LACV110419,,,1,State Trial,#N/A,State Trial
"District Court of Iowa, Fremont County",1,SMMG030661,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Teller County",1,02 CV 262,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Ouray County",1,2017CV2,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Lincoln County",1,01CV63,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, El Paso County",1,2023CV19,,,1,State Trial,#N/A,State Trial
"District Court of Nevada, Elko County",1,CR-AP-12-4755,,,1,State Trial,#N/A,State Trial
District Court of Colorado Elbert County,1,2024CV2,,,1,State Trial,#N/A,State Trial
"DIstrict Court of Iowa, North Lee County",1,PCLA 006654,,,1,State Trial,#N/A,State Trial
"Criminal Court of the City of New York, Queens County",1,2004QN043051,nycrimctqueens,"The Criminal Court of the City of New York, Queens",0,,State Trial,State Trial
"Court of Common Pleas of South Carolina, Georgetown County",1,99-CP-22-268,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Charleston County",1,2007-CP-10-3878,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Calhoun County",1,09-CP-09-164,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Berkeley County",1,2008-CP-08-2561,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of Pennsylvania, Delaware County",1,CP-23-CR-0004909-2021,,,1,State Trial,#N/A,State Trial
"District Court of Louisiana, St. Tammany Parish",1,194255,,,1,State Trial,#N/A,State Trial
"District Court of New Mexico, Dona Ana County",1,CR-2004-50,,,1,State Trial,#N/A,State Trial
"Superior Court of Arizona, Coconino County",1,CR 2007-0429,,,1,State Trial,#N/A,State Trial
"District Court of Wyoming, Teton County",1,2247,,,1,State Trial,#N/A,State Trial
"Superior Court of Alaska, 4th Judicial District",1,87506,,,1,State Trial,#N/A,State Trial
"Superior Court of Alaska, 3rd Judicial District",1,3AN-24-06057CI,,,1,State Trial,#N/A,State Trial
New York Supreme Court Dutchess County,1,3266/2001,,,1,State Trial,#N/A,State Trial
Merrimack County Probate Court of New Hampshire,1,2001-C136,,,1,State Trial,#N/A,State Trial
"Juvenile Court of Georgia, Douglas County",1,J060510,,,1,State Trial,#N/A,State Trial
"Judicial Branch of New Hampshire, Family Division of Lebanon",1,2000-M-0193,,,1,State Trial,#N/A,State Trial
"Fifth Judicial District Court of Louisiana, Franklin Parish",1,C-40232,,,1,State Trial,#N/A,State Trial
"District Court of Wyoming, Uinta County",1,CR-05-35,,,1,State Trial,#N/A,State Trial
"District Court of Wyoming, Platte County",1,2009-027,,,1,State Trial,#N/A,State Trial
"District Court of New Mexico, Eddy County",1,D-503-CR-2006-120,,,1,State Trial,#N/A,State Trial
"District Court of Wyoming, Laramie County",1,19-373,,,1,State Trial,#N/A,State Trial
"District Court of Wyoming, Hot Springs County",1,05-11,,,1,State Trial,#N/A,State Trial
District Court of Wyoming Campbell County,1,4944,,,1,State Trial,#N/A,State Trial
"District Court of Utah, Cache County",1,"031100633, 031101017",,,1,State Trial,#N/A,State Trial
"District Court of North Carolina, Perquimans County",1,05-CVD-205,,,1,State Trial,#N/A,State Trial
"District Court of New Mexico, Socorro County",1,0725-CR-94-09,,,1,State Trial,#N/A,State Trial
"District Court of New Mexico, San Juan County",1,D-1116-CR-2007-00475,,,1,State Trial,#N/A,State Trial
"District Court of New Mexico, Rio Arriba County",1,D-117-cr-2016-00020,,,1,State Trial,#N/A,State Trial
United States Foreign Intelligence Surveillance Court of Review,1,Misc. 20-02,fiscr,United States Foreign Intelligence Surveillance Court of Review,0,,Federal Special,Federal Special
